0_0_dx,0_0_dy,0_1_dx,0_1_dy,0_2_dx,0_2_dy,1_0_dx,1_0_dy,1_1_dx,1_1_dy,1_2_dx,1_2_dy,2_0_dx,2_0_dy,2_1_dx,2_1_dy,2_2_dx,2_2_dy,angle
50.054,49.9257,50.0849,50.0686,50.0895,50.0144,49.9944,49.9669,50.0225,49.9949,50.0202,49.9924,49.9244,49.9546,49.9151,50.011,50.0046,50.0513,0.05
50.0811,49.9186,50.0946,50.0676,50.0464,50.1406,50.0029,49.9701,50.013,50.0011,50.0257,50.053,49.8995,49.9507,49.9367,50.0758,49.9309,50.0605,0.1
50.0514,49.8866,50.0779,50.0252,50.0379,50.0979,50.0308,49.903,50.0366,50.0219,50.0303,50.0569,49.921,49.8767,49.9517,50.0482,49.8776,50.179,0.15
50.0931,49.8583,50.0437,50.0547,50.1146,50.1434,49.9985,49.9146,50.0254,50.0029,49.9816,50.1438,49.847,49.9029,49.9033,50.0353,49.8573,50.3078,0.2
50.2271,49.7871,50.3089,50.0844,50.2381,50.2025,50.064,49.7732,50.0335,50.0346,50.0121,50.275,49.7043,49.7355,49.8273,50.0316,49.7351,50.339,0.25
50.6488,49.3787,50.7276,50.0407,50.6936,50.6831,50.0062,49.2973,50.0078,50.0347,50.0213,50.6767,49.3024,49.3178,49.3173,50.0314,49.3066,50.6221,0.3
50.7768,49.215,50.827,50.0274,50.8558,50.8415,50.006,49.1299,49.983,50.004,50.0446,50.8103,49.2042,49.2037,49.1364,49.9652,49.2403,50.678,0.35
50.8938,49.1801,50.8482,50.0164,50.8967,50.8931,49.965,49.0924,49.9878,50.0232,50.0141,50.8573,49.1138,49.1524,49.1463,50.0342,49.1769,50.8225,0.4
50.857,49.1151,50.8897,49.9168,50.9758,50.9713,49.9502,49.1168,50.0138,50.0118,49.9918,50.8775,49.0831,49.105,49.0889,50.0089,49.0817,50.9541,0.45
50.9206,49.0922,50.9192,50.0029,50.982,50.9381,49.9761,49.0826,49.9642,50.0442,50.0093,50.9285,49.1017,49.0427,49.0549,50.0525,49.0654,50.8449,0.5
50.9134,49.0677,50.9469,50.049,50.9418,50.9362,49.9826,49.0635,49.9876,50.0756,49.97,50.9252,49.0625,48.9995,48.9996,50.0426,48.9833,50.9609,0.55
50.9999,48.9396,50.9945,50.0054,51.0152,50.9829,50.0043,48.9835,50.0111,50.0454,50.0169,50.9846,48.988,48.9201,49.0162,50.0761,48.9903,51.072,0.6
51.0611,48.9284,51.0722,50.0383,51.1032,51.0626,50.0073,48.9358,49.9989,50.0576,49.9934,51.1034,48.9422,48.9202,48.8972,50.1017,48.9859,51.1092,0.65
51.1251,48.7838,51.074,50.0631,51.1365,51.0985,50.0328,48.8254,50.0401,50.0454,50.0269,51.1417,48.8757,48.8547,48.9017,50.1396,48.902,51.2648,0.7
51.1947,48.7824,51.0713,50.1593,51.1275,51.1877,50.0375,48.7992,50.009,50.0473,50.0617,51.1493,48.7741,48.7705,48.8002,50.0587,48.8982,51.318,0.75
51.276,48.6662,51.2521,50.1146,51.2673,51.2913,50.0786,48.7001,50.0256,50.0664,50.0161,51.2334,48.6275,48.7575,48.7542,50.0477,48.7806,51.3909,0.8
51.3976,48.4474,51.3448,50.1669,51.6564,51.3568,50.0247,48.5716,50.0016,50.0729,50.0697,51.5428,48.3426,48.6547,48.6564,50.1669,48.6554,51.3477,0.85
51.7391,48.3086,51.5832,50.1062,51.7906,51.469,50.033,48.2624,49.9991,50.1009,50.098,51.7002,48.2524,48.3686,48.3765,50.0984,48.3226,51.6633,0.9
51.7502,48.2532,51.6448,50.0939,51.8366,51.7709,50.0365,48.2512,49.9911,50.1099,49.9725,51.8136,48.2166,48.2977,48.2667,50.0984,48.2404,51.7125,0.95
51.7777,48.2317,51.7289,50.0446,51.9159,51.8204,50.0119,48.1913,49.9785,50.1052,49.9742,51.8656,48.1508,48.2918,48.2362,50.0517,48.1613,51.8254,1.0
51.8408,48.1598,51.7903,50.0572,51.9464,51.8488,50.0065,48.1429,50.0225,50.0862,49.9935,51.9326,48.0899,48.193,48.1792,50.0879,48.1041,51.9537,1.05
51.9125,48.0449,51.7719,50.2115,51.9694,51.8784,50.0867,48.0884,49.9824,50.0751,50.0015,51.9586,48.0279,48.0451,48.1504,50.0578,48.0132,51.9564,1.1
51.9672,47.9728,51.9033,50.1773,51.9753,51.9505,50.0597,48.0784,50.0086,50.0585,50.044,52.0028,48.002,48.0042,48.0121,50.077,47.9291,52.0287,1.15
52.0124,47.8675,51.8743,50.177,52.0434,52.0387,50.0647,47.987,49.9665,50.0473,50.0612,52.0859,47.972,47.9182,48.0353,50.0991,47.9442,52.0402,1.2
52.1436,47.7684,52.0157,50.2244,52.0744,52.1189,50.1025,47.932,50.0033,50.0583,50.0223,52.1589,47.848,47.8809,47.9217,50.1412,47.8923,52.1575,1.25
52.2187,47.7134,52.0372,50.1892,52.1612,52.2283,50.0911,47.8404,49.9885,50.0076,50.1162,52.2398,47.6961,47.8275,47.8584,50.224,47.7915,52.2441,1.3
52.2472,47.6659,52.1292,50.1221,52.2471,52.2601,50.0678,47.748,49.9511,50.0423,50.0044,52.2669,47.7079,47.7044,47.8017,50.1652,47.7276,52.3497,1.35
52.3111,47.4262,52.2171,50.033,52.2814,52.3496,50.1105,47.6956,50.0151,50.0243,50.0651,52.6571,47.3499,47.6792,47.7341,50.1827,47.7015,52.6206,1.4
52.4382,47.3661,52.3362,50.0698,52.7877,52.3778,50.0975,47.6536,49.9432,50.0167,50.0734,52.7464,47.2771,47.5589,47.693,50.2054,47.6712,52.5919,1.45
52.7187,47.2481,52.3729,50.0659,52.8176,52.4137,50.0549,47.3315,49.9814,50.037,50.0343,52.801,47.2471,47.3269,47.4064,50.1466,47.2183,52.6105,1.5
52.8417,47.1998,52.628,49.9722,52.8663,52.6821,50.1075,47.2866,49.9936,50.0209,50.0034,52.9102,47.2702,47.3014,47.2911,50.1063,47.1534,52.6807,1.55
52.8287,47.1247,52.6187,49.9236,52.8785,52.7761,50.0976,47.2108,49.956,50.0178,50.0332,53.0002,47.2318,47.1384,47.2897,50.1044,47.0995,52.766,1.6
52.8447,47.1264,52.6961,50.011,52.969,52.8262,50.1478,47.166,49.9649,50.0343,50.0013,53.0859,47.0702,47.0652,47.1635,50.0682,46.9642,52.835,1.65
52.9123,47.0243,52.7161,50.0692,53.0454,52.8801,50.2059,47.1165,49.9593,50.0352,50.0201,53.1337,47.0945,47.0271,47.1017,50.0553,46.9259,52.9031,1.7
53.0127,46.9435,52.782,50.0791,53.0484,52.8905,50.1581,47.0422,49.9819,50.0768,50.1079,53.1365,46.9176,47.0278,47.031,50.1284,46.8593,52.9423,1.75
